2013.1학기 대체시험 정답표(13.1)(5차) - 업로드
1,세계의역사,14223,121C3,211B2
1,초급중국어1,24444,21123,24421
1,경영학개론,12434,22421,32124
1,행정학개론,22334,14212,43214
1,영문법의기초,21134,11234,33413
1,농학원론,12321,41243,14221
1,글쓰기,4A243,11323,14431
1,교육의이해,22414,22234,23114
1,프랑스어입문,11134,41232,12323
1,생활한문,43424,32443,42414
1,한국현대문학의이해와감상,41214,14341,33224
1,영어회화1,12213,32143,44132
1,중국문화개관,31143,34244,23244
1,프랑스어기초문법연습,13221,13233,14431
1,일본어기초1,A4221,34341,21134
1,일본학개론,12213,43133,41423
1,청소년교육개론,23343,41134,11423
1,아동발달,41242,34323,32212
1,민법총칙,13214,13143,31241
1,헌법의기초,12432,34413,23414
1,형법총론,43421,23341,41311
1,정보사회와행정,32341,41412,33421
1,사회복지개론,13343,41122,23122
1,기초미시경제론,42334,43242,121B4
1,재무회계원리,12413,24312,21212
1,무역학원론,32114,23212,K4143
1,매스미디어와사회,23231,42324,23314
1,방송의이해,32313,21344,14122
1,관광학개론,42442,23222,13413
1,서비스매너,22413,43121,32412
1,원예학,11134,41224,43243
1,영양과건강,42123,31424,43432
1,가족자원관리학,13441,42231,33134
1,인터넷서비스,22323,22441,33312
1,데이터정보처리입문,24112,33133,24331
1,환경보건학개론,23312,42213,32431
1,공중보건학,31424,32114,32143
1,평생교육론,12431,34221,12343
1,생애발달과교육,421K3,31314,33212
1,청소년문화,31234,31412,43311
1,아동관찰및행동연구,32233,21441,12441
1,영화로생각하기,33143,43422,41212
1,문화와교양,41213,34124,12132
2,대학수학,22111,24433,42314
2,한국사의이해,43121,34241,31241
2,한국근대작가론,24332,21131,31414
2,국문학의역사,43123,44112,1K442
2,영문법의활용,43431,21434,14223
2,영미산문,24314,34212,32141
2,시사영어,24321,31423,14214
2,초급한문,41323,34341,31321
2,중급중국어1,13223,43413,23434
2,중국어중급회화,33224,14124,33221
2,프랑스어의구조1,13242,14314,34213
2,프랑스산문,24341,32421,23141
2,일본어활용1,31113,42414,42432
2,일본근세근현대사,31132,24343,42341
2,상담심리학,14234,12131,42423
2,사회적역할의이해,11242,43234,11414
2,유아교육과정,44312,31423,31421
2,채권법,42342,43442,42112
2,상법기초,12434,32134,C3212
2,근로보호법,23342,K3K13,23341
2,인적자원관리론,31421,42132,41232
2,행정조직론,21232,21243,43342
2,고급미시경제론,31343,44231,24232
2,세계경제의역사,43231,42124,234K2
2,경영분석을위한기초통계,24112,34233,43433
2,전략적인적자원개발론,21231,41421,24444
2,마케팅론,22131,24434,44234
2,재무회계원리,12241,23314,22112
2,무역계약과상사중재론,41232,21233,41413
2,사이버커뮤니케이션,32434,24334,13223
2,대중문화와영화비평,44321,31324,13124
2,서비스경영의이해,43344,22212,11134
2,관광마케팅,21333,44134,12214
2,농업유전학,32423,22413,22213
2,농업생물화학,32133,F1311,21342
2,인체생리학,24232,21423,31431
2,이산수학,32441,12343,31413
2,실내공기오염관리,41212,33314,41341
2,생활폐기물관리,41113,43233,14331
2,교육과정및평가,22331,42143,22324
2,청소년학습이론및지도,41324,24213,11233
2,세계의풍속과문화,21134,32432,42321
2,유럽바로알기,13142,34211,43414
2,동서양문학고전산책,24131,41134,34324
3,우리말의구조,13422,14331,42234
3,고전시가론,24243,32324,44322
3,문학비평론,23414,23114,42134
3,테스트영어연습,21212,42342,32214
3,영어학의이해,24131,24334,21342
3,영시읽기의기초,23412,12344,31312
3,영미아동문학,12431,42113,43131
3,고급중국어1,41412,31314,23124
3,중한번역연습,42442,32334,11143
3,중국어듣기연습1,21224,23321,43331
3,중국명시감상,21442,14332,32442
3,프랑스문학산책,34222,34224,11414
3,프랑스시,31344,22231,23214
3,프랑스어문장연습,14123,43221,21232
3,일본전통문화론,12422,3143C,34143
3,일본의소설,13434,12244,31143
3,중급일본어활용1,31321,43241,22412
3,직업과윤리,42213,11332,23132
3,일반행정법,34332,44311,44222
3,공정거래법,34214,23131,23223
3,법사상사,34433,22321,31443
3,비교법,43214,24232,31312
3,행정계량분석,21341,12334,21423
3,지방자치행정론,23244,34111,32334
3,공기업론,11344,11324,23413
3,재정학,22211,22143,14142
3,토지경제론,44224,42114,41141
3,금융시장론,42334,43232,23342
3,중급재무회계,12432,41321,14123
3,재무관리,31422,33212,32133
3,인적자원관리,42344,34431,42214
3,영문정보및서식의이해,31433,24421,21334
3,국제무역론,41243,43332,13132
3,무역실무,31423,24134,42412
3,국제통상론,41121,31431,31414
