2014-2기말시험정답표(전학년) 최종
1,생물과학,421B4,31442,34142,32121,32133,B4123,14243
1,인간과과학,14432,22314,3241D,3112K,21213,,
1,인간과사회,23131,23411,22141,44112,31223,13423,11321
1,초급중국어2,41224,31342,42312,33232,12432,,
1,대학영어,42341,13214,23132,34432,14342,33132,43211
1,언어의이해,41213,32331,33143,31143,41243,14324,11222
1,인간과심리,2C432,3K414,24343,31232,423A3,22314,13132
1,초급프랑스어,23142,12343,21211,24244,42213,33413,21424
1,인간과교육,12143,34141,31324,24223,13312,41412,14243
1,국어학개론,32413,31232,33413,23114,31334,44121,13432
1,국문학개론,13324,24313,22344,12243,32211,44314,33324
1,영어듣기연습,21231,43322,13344,14141,31344,24312,11144
1,생활영어,31441,23224,33434,21142,13414,21312,32231
1,미국의사회와문화,34214,44314,21134,21144,41414,24241,12431
1,중국어초급회화,42323,13244,42123,42132,21343,23124,32412
1,중국고전문학의전통,13141,24423,12312,31433,24132,,
1,오늘날의프랑스,24243,11324,11432,14134,44414,23221,44442
1,생활프랑스어,41223,34431,41322,24223,42213,23144,31121
1,일본어기초2,14331,22213,D2124,24113,21241,41323,43342
1,일본고중세사,41421,23412,33444,12324,43132,,
1,일본사회문화의이해,43314,14141,22121,11432,12211,23232,32114
1,교육심리학,14423,22332,43143,42234,42121,33141,42121
1,아동미술,13223,11424,24331,23122,41332,44413,22143
1,통치의기본구조,41422,24242,13112,31232,31421,,
1,물권법,11343,32431,22433,11242,31214,21432,11431
1,형법각론,34131,23324,43221,44212,24331,21232,1D341
1,정치학개론,21434,23123,31234,12212,34431,23114,33414
1,국제정책및통상갈등,23114,33324,11423,14221,23423,,
1,발전행정론,14131,13412,12233,21313,24133,,
1,기초거시경제론,13421,43232,41324,13124,34123,14231,42214
1,IT와경영정보시스템,34231,31241,23221,43324,32113,24311,34231
1,조직행위론,33413,13322,21342,41224,14412,32342,44421
1,세계지역경제론,33241,44344,14421,32322,32123,11314,33342
1,국제경영의이해,23412,43321,32143,23421,43134,12314,21431
1,국제무역과협상,44342,11234,21313,23231,41223,34212,41344
1,커뮤니케이션과인간,24342,13221,32412,14241,13211,31411,33131
1,대중영화의이해,43214,33421,22431,14321,43214,33421,24321
1,저널리즘의이해,24321,23423,14432,14312,21343,14221,43231
1,한국문화자원의이해,34342,41234,34323,42311,24434,23343,31233
1,현대인의여가생활,11142,41K31,34431,23422,42312,,
1,관광경영론,32334,22113,24241,23344,11344,23421,24311
1,축산학,42144,22423,31214,22K14,13134,34114,33241
1,재배학원론,14244,43432,43233,31133,22422,14211,31222
1,의류소재의이해,34134,12144,11424,42231,34413,42413,12124
1,인간발달,32442,23144,13321,42343,21234,33234,41313
1,식생활과문화,43422,44113,23114,12432,23422,13314,31243
1,C++프로그래밍,13241,24314,31213,42334,14223,,
1,컴퓨터과학기초,24423,43233,12243,14234,14234,21432,13231
1,멀티미디어시스템,24341,44241,21133,14322,4113F,21424,21124
1,생활과통계,34124,21423,12324,12321,23241,,
1,R컴퓨팅,41112,13111,12441,44333,44114,,
1,환경과대체에너지,21324,21342,43413,22134,24423,41242,21421
1,환경화학,41443,34223,41211,33321,24143,42223,42143
1,보건행정,41213,42324,13342,14431,23213,21414,23412
1,인간행동과사회환경,14233,14424,43133,21312,14242,22312,22121
1,시민교육론,22431,34124,34324,21111,42342,44313,42112
1,원격교육론,24142,14321,13124,34313,22134,42233,14412
1,놀이지도,21244,23412,13424,13243,21432,31423,13313
1,정신건강,43123,31421,34333,13322,24243,11231,44241
