2016학년도 2학기 기말시험 정답표
1,생물과학,44112,32A12,42323,D2442,34143,14132,12413
1,인간과과학,42423,21144,23331,34122,14324,? ,? 
1,인간과사회,12334,43242,23412,44311,2B432,21443,43312
1,초급중국어2,22141,31432,14233,31241,23122,? ,? 
1,대학영어,21433,42121,42411,23412,33412,13124,31423
1,언어의이해,21312,2A212,14221,12112,11322,23223,12341
1,인간과심리,42121,32413,32413,32341,21434,33434,24222
1,초급프랑스어,32123,44334,21241,44314,34122,41233,42341
1,인간과교육,31324,41344,11423,21334,14221,32324,12143
1,국어학개론,41431,33431,24321,41332,41434,13241,33312
1,국문학개론,14223,43441,42323,14432,31412,34223,44434
1,영어듣기연습,31243,41321,41241,23224,23431,23441,11334
1,생활영어,13423,41342,41132,14431,24341,42221,34331
1,미국의사회와문화,12313,44221,21234,32423,12413,21212,31224
1,중국어초급회화,24321,23412,21323,32413,32423,13141,24332
1,중국고전문학의전통,31422,43144,13242,13131,32132,32142,41424
1,오늘날의프랑스,11323,21431,13442,11133,42334,23431,44442
1,생활프랑스어,22132,14311,43122,34322,33241,2212K,44124
1,일본어기초2,43241,32113,41431,31231,32142,22444,11221
1,일본고중세사,33324,21212,33214,43414,23144,? ,? 
1,일본사회문화의이해,12413,42343,42142,11142,11321,31421,21244
1,교육심리학,12134,21221,33444,23431,32131,44244,13123
1,아동미술,14322,43142,43212,11224,34132,41133,41243
1,통치의기본구조,32421,12442,21314,13112,33442,? ,? 
1,물권법,31334,23144,32212,34121,22433,31321,23132
1,형법각론,34142,32142,34213,23243,14312,42143,23423
1,정치학개론,43124,13314,21234,34122,34141,23324,11423
1,국제정책및통상갈등,23423,14423,24134,31431,42424,? ,? 
1,발전행정론,22214,13213,42324,31233,32224,? ,? 
1,기초거시경제론,32143,12414,24321,22342,23124,23123,41213
1,IT와경영정보시스템,32123,41423,14143,23312,24143,21432,11342
1,조직행위론,43343,14111,32214,31431,12423,33322,11321
1,세계지역경제론,33333,14444,14421,22342,32211,31342,13324
1,국제경영의이해,22323,34241,43344,34141,24124,41113,41321
1,국제무역과협상,21433,11143,41412,22313,24141,31244,32431
1,커뮤니케이션과인간,24232,21144,22211,343A2,42323,22221,43241
1,대중영화의이해,42131,42123,43132,34421,21314,23214,34312
1,저널리즘의이해,24313,42112,34432,12341,21433,41221,43321
1,한국문화자원의이해,D1432,32213,23124,33241,34A13,24312,43232
1,현대인의여가생활,43433,12312,44142,12312,34421,? ,? 
1,관광경영론,33242,11323,21444,22311,13442,11133,42241
1,축산학,24311,21242,42341,22242,12434,13142,32432
1,재배학원론,32332,22413,34343,23431,31223,24324,21411
1,의류소재의이해,31431,42314,24241,32241,32331,24312,34243
1,인간발달,12141,34241,11343,22341,33211,14234,41321
1,식생활과문화,22411,33241,23124,13124,12414,21431,32142
1,C++프로그래밍,31241,33243,32414,21411,43242,? ,? 
1,컴퓨터과학 개론,14243,24A33,24143,11234,11341,23231,32134
1,멀티미디어시스템,21434,321A3,32224,23224,43434,44421,31143
1,생활과통계,31423,231K2,13231,24312,42432,? ,? 
1,R컴퓨팅,34114,31313,42434,32423,43241,? ,? 
1,환경과대체에너지,12124,23412,33234,42311,31422,12221,42134
1,환경화학,21324,23441,34141,24331,21324,? ,? 
1,보건행정,22143,31413,42434,22311,24341,21321,34424
1,인간행동과사회환경,12223,22141,4233E,2A121,33413,2A311,33133
1,시민교육론,24122,34211,33432,34141,41324,34124,14133
1,원격교육론,32423,41244,31142,13244,13231,41213,21143
1,놀이지도,32144,12341,24321,24321,34122,33432,13141
1,정신건강,41223,43124,32413,31322,31243,11414,31224
1,미술의이해와감상,42313,42312,43122,13134,23214,32332,24311
1,역사의현장을찾아서,13234,11431,42443,44412,14421,41343,33311
1,독서의즐거움,14433,23423,31342,13124,32133,43112,31422
1,청소년과학교교육,43424,21114,23231,42K1B,22423,11433,24244
1,청소년과부모,32312,44233,14324,33444,31413,24K42,22424
2,철학의이해,43424,33212,34243,13423,1431K,11244,23423
2,문학의이해,21443,23121,43212,131K2,43141,34314,23212
2,취미와예술,24314,13432,31121,21342,41324,33241,22313
2,수학의이해,13423,344K3,2443K,12414,23K31,? ,? 
2,현대소설론,32231,33414,42121,22134,31143,12332,33214
2,고전시가강독,33421,12122,33134,24221,12333,11212,13333
2,맞춤법과표준어,13231,42342,23344,11324,21331,24231,41234
2,드라마와영어듣기,42133,23443,12412,22122,14144,42314,14321
2,영미단편소설,23143,32411,24324,21313,42141,34121,13214
2,영작문1,33144,43231,42213,24313,24122,31413,41214
2,중급중국어2,44142,42341,24211,21242,32342,31133,24142
2,중급한문,22432,42131,32232,32112,21324,43244,41332
2,중국어문법,22211,23434,23334,43134,41423,14121,32134
2,프랑스어의구조2,23341,33124,42424,33223,43313,42224,33414
2,실용프랑스어,41121,14131,42433,42141,24213,43421,31344
2,일본어기초2,21333,14212,42142,41131,12231,444K1,21344
2,일본어활용2,12341,14133,41223,23241,14332,34221,41223
2,일본인의경제생활,14434,22244,21223,23143,21333,31314,32433
2,일본어문법,31243,14232,41324,12314,43223,22132,32213
2,교육철학,32241,12323,42234,14433,41233,31421,33144
2,교육사회학,32414,22213,21413,24214,33244,44313,12124
2,기본권의기초이론,42413,14322,14234,32411,21331,? ,? 
2,주식회사법,34221,21423,42134,32121,31313,? ,? 
2,노사관계법,41422,33312,21434,41432,14334,43132,44342
2,기획론,41342,41312,32143,11434,41213,? ,? 
2,사회복지정책론,24133,42112,3314K,41421,32414,? ,? 
2,행정조직론,21431,22314,11443,21221,24423,? ,? 
2,고급거시경제론,34341,44233,23142,21242,44423,? ,? 
2,수량경제분석입문,14233,32313,14214,23211,24132,? ,? 
2,경제사상과이론,21314,12311,4211B,42321,32343,11342,22132
2,경영의사결정론,23141,21143,41411,34143,41144,14334,34144
2,관리회계원리,14132,21423,32433,41241,12241,? ,? 
2,중소기업경영론,23141,21331,24124,14312,42331,21213,14221
2,동아시아와 통일한국 경제,11424,42133,12432,13422,34213,11424,31224
2,산업구조와경쟁,13214,22333,41444,21414,13313,24334,14123
2,국제브랜드관리,13124,31243,12344,32134,22123,41324,42413
2,설득커뮤니케이션,23142,41312,34243,14321,12431,42142,13321
2,통합마케팅커뮤니케이션,41324,24443,41211,34242,32144,32312,34422
2,사진영상론,33214,44321,12134,21423,33214,41234,13142
2,아동·청소년과 미디어,KF433,23143,21234,21232,43213,42344,21344
2,여행사실무,24113,31114,12321,21444,22214,12123,24312
2,호텔산업의이해,11244,2221D,34242,31111,44223,33343,34411
2,항공예약발권2,4123C,14313,32122,31231,42241,? ,? 
2,서유럽문화기행,32143,41432,14231,24442,34231,12332,14213
2,가축영양학,43243,2122A,32314,44312,21413,13444,33222
2,애완동물,23241,11243,44324,43424,1C444,24141,43434
2,재배식물생리학,32414,33424,23114,41344,43141,24134,14412
2,가계재무관리,11234,33224,34432,14123,32141,42141,42312
2,패션관리와스타일링,13124,34143,34122,41123,13C21,44332,31432
2,아동영양학,41413,42223,23424,43113,24312,13433,43241
2,자료구조,21433,31244,41431,43132,24142,? ,? 
2,선형대수,34124,13223,41234,41123,24314,? ,? 
2,프로그래밍언어론,44312,34321,24212,31341,12344,? ,? 
2,확률의개념과응용,42232,21413,24314,22212,34314,? ,? 
2,여론조사의이해,21133,23123,14241,12331,11234,44313,43112
2,데이터처리와활용,22314,31232,14223,42321,24214,? ,? 
2,산업보건학,44114,31331,43K44,21422,13414,14312,34333
2,의료사회사업론,23132,13144,43421,34312,24321,42413,42331
2,환경생화학,4312D,14243,1312K,21432,42314,41122,23342
2,청소년심리,22321,23243,43122,13344,34222,43444,32211
2,인적자원개발론,42241,42312,31114,34344,33434,11112,12131
2,여성교육론,12322,22232,14122,43114,42124,41224,23143
2,유아교육철학및교육사,24314,12133,31341,21342,24423,21421,34214
2,학교폭력예방의이론과실제,31314,43234,33214,34334,13332,11224,31431
2,유아수학교육,21233,23413,34441,43342,13134,24113,21433
2,아동문학,32113,43434,34142,12323,12414,14243,33223
2,인물로본문화,43421,31234,12342,14231,1422B,34211,42134
2,역사의현장을찾아서,33312,41242,34342,23224,32112,23421,23234
2,생활속의경제,42123,31413,43222,41413,12411,? ,? 
2,음악의이해와감상,41243,14244,11423,34313,24321,33314,334A1
2,사회복지실천론,43121,23231,13221,43143,11344,32222,42313
3,인간과교육,44122,23343,13142,E3131,43314,34412,21142
3,통일인사이드,24124,42242,31441,32343,21343,24121,43141
3,현대시론,433B3,41341,21212,41432,33142,31342,24243
