1,글쓰기,32142,14342,23124,34121,41234,32124,13423,42234,32141,31342
2,컴퓨터의이해,23232,14221,13344,31324,12142,14334,23124,43123,21432,23421
3,생활과건강,42443,34414,42144,33424,14433,14211,11343,23414,21423,34412
4,세계의역사,31244,23142,43132,43214,34111,34243,24312,22314,31121,32413
5,한국사의이해,13424,23114,23314,21243,41233,24112,34143,24123,43121,43114
6,생명과환경,12411,23232,42414,11442,32142,11312,34123,13331,,
,,배점,33333,33333,33333,33333,22222,22222,22222,22222,,
7,세계의정치와경제,12334,41142,33213,42311,34232,11213,22344,32133,12332,43243
8,동서양고전의이해,42132,14332,12431,24314,34123,42134,22314,13421,32413,24132
9,사회문제론,33212,23443,13434,12A13,33334,22314,13244,34413,13342,14424
10,세상읽기와논술,21334,31143,31422,13213,24313,31422,24213,23333,,
,,배점,23232,32232,23323,32332,23222,33223,33222,23333,,
11,글과생각,34314,44422,31433,42421,31442,21244,33414,31243,24342,12341
12,언어와생활,41323,41212,43231,41324,42133,42132,41412,33142,24132,14342
13,멀티미디어영어,42342,13314,23441,23334,12114,34231,42443,12333,44112,32423
14,영어권국가의이해,23411,23441,21422,33244,42431,32133,41233,44114,13431,21412
15,영어교수법,12432,43141,23314,24231,13243,24113,24431,21234,11132,23344
16,기초한자,21413,44431,11232,14434,24331,14113,14114,22412,31332,42234
17,집중중국어,41112,43212,21324,13122,34243,K4334,21143,31241,24333,42413
18,초급중국어1,24123,31311,12121,14234,43342,24123,12344,34243,,
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,,
19,프랑스어입문,43234,22342,14232,41122,34143,33122,24423,32432,42333,41113
20,일본어기초1,22314,31143,42133,41134,21311,41242,43232,42224,11444,32431
21,일본학개론,42112,23234,32312,43234,14324,14142,44342,13212,32332,22412
22,민법총칙,23414,34143,24222,32433,21321,43222,11421,22331,,
,,배점,22232,32333,32333,32222,33332,33222,22233,23322,,
23,헌법의기초,24121,41234,24411,32413,24232,31432,23313,13441,,
,,배점,23232,32323,23232,32323,23232,32323,23232,32323,,
24,형법총론,42134,31241,21234,31443,31244,11324,23234,43212,,
,,배점,23223,22332,32333,22333,32322,22233,32322,33232,,
25,행정학개론,31324,14231,23441,21322,21441,32243,13442,24133,,
,,배점,22222,23232,32323,33223,33223,33223,33223,33223,,
26,기초미시경제론,22423,33432,21331,24444,41241,32111,44124,34411,,
,,배점,23232,32323,23232,32323,23232,32323,23232,32323,,
27,서양경제사,12111,11212,11121,22121,11211,11112,44243,41441,,
,,배점,33232,33332,22233,32222,22222,22222,33333,33333,,
28,재무회계원리,33223,13214,32141,41214,12231,22111,34431,23114,42134,41213
29,소비자행동론,31431,22414,42331,22213,32323,12411,44323,43211,42323,14111
30,인적자원관리,42342,12114,42243,42242,23134,44321,33434,31341,14431,43423
31,국제마케팅,43212,32241,23441,12141,23413,12233,42212,13244,32413,11423
32,미디어와사회,31121,33232,41324,34344,12342,12413,21242,31312,34244,13212
33,사진의이해,21342,32144,33444,31324,23214,13241,24143,24114,,
,,배점,23223,33322,22233,23233,22332,23323,23232,23323,,
34,그래픽커뮤니케이션,11332,21414,12113,14234,33114,22324,42414,33321,,
,,배점,32333,33232,23233,23323,33223,23233,22322,22222,,
35,한국지리여행,34331,21334,11242,23K34,24342,14214,21431,41312,,
,,배점,33232,32322,22233,33323,33332,23323,22222,23223,,
36,축제·이벤트관광,33242,11323,21444,22311,13442,11133,42241,33214,,
,,배점,32323,33232,33222,33322,33333,32322,22232,32222,,
37,사회복지개론,11313,11431,12132,31312,44134,31131,24241,31232,34131,44141
38,프로그램개발과평가,41332,42314,21341,34321,13422,21141,23243,13243,14241,23243
39,숲과삶,31431,12432,44133,24211,31142,42114,13421,41442,22314,13241
40,원예작물학1,21412,41323,32314,33413,14323,13241,44324,34312,42132,13412
41,식물의학,23141,24313,42431,32314,14231,32314,14214,31232,41413,22413
42,인체생리학,41413,22241,43432,34412,33124,42421,34324,14334,43113,42241
43,패션과문화,12143,24132,42341,23221,34143,12141,13232,14243,12331,32422
44,가족복지론,32431,34234,13224,32241,24121,23422,43114,11334,41124,43312
45,생화학,12433,42243,12144,24331,34132,34213,42134,23213,21331,41114
46,테크니컬디자인,33124,43213,42321,33241,43213,22314,42411,32412,21343,41442
47,인터넷과 정보사회,22314,14324,31422,31343,11241,13234,34212,34213,33224,14322
48,알고리즘,42331,24331,32142,241K1,42321,23321,13231,24123,,
,,배점,22333,23232,22232,22322,32322,22333,33333,33232,,
49,운영체제,12214,22314,31144,14243,41424,33213,33123,32421,,
,,배점,33322,32222,33333,22223,22222,33333,33222,23332,,
50,데이터정보처리입문,43422,33242,24134,31232,44324,31142,21121,33442,,
,,배점,23232,33323,23322,33223,32222,33322,23222,23333,,
51,통계학개론,44212,11442,33433,23432,23444,32144,33331,44333,,
,,배점,22223,33233,22332,22332,23233,32233,22332,33322,,
52,공중보건학,21244,31311,34224,34213,14322,31414,12331,44132,32412,12313
53,간호연구,31133,34242,21233,13244,11313,23444,24312,42341,21434,14423
54,정신건강과간호,42413,34441,31142,41111,33443,34332,22343,33232,44144,24414
55,성인학습및상담론,14424,23143,21214,42133,14322,34131,24343,14321,32134,21231
